iter	Passed	Remaining
404	8988	13205
405	9004	13174
406	9022	13146
407	9041	13118
408	9061	13093
409	9084	13072
410	9105	13048
411	9131	13032
412	9152	13008
413	9173	12984
414	9193	12959
415	9212	12932
416	9229	12904
417	9250	12880
418	9271	12855
419	9292	12832
420	9311	12806
421	9336	12787
422	9357	12764
423	9377	12739
424	9397	12714
425	9416	12687
426	9434	12660
427	9454	12634
428	9473	12609
429	9493	12584
430	9518	12565
431	9546	12551
432	9566	12527
433	9587	12503
434	9606	12477
435	9625	12451
436	9643	12424
437	9661	12396
438	9681	12371
439	9700	12345
440	9720	12321
441	9745	12303
442	9785	12304
443	9823	12302
444	9852	12287
445	9873	12264
446	9897	12244
447	9916	12218
448	9941	12199
449	9967	12182
450	9990	12161
451	10012	12138
452	10031	12113
453	10050	12087
454	10068	12060
455	10088	12035
456	10105	12007
457	10126	11983
458	10147	11959
459	10168	11937
460	10196	11922
461	10217	11898
462	10237	11873
463	10257	11848
464	10274	11821
465	10294	11796
466	10320	11779
467	10339	11753
468	10362	11732
469	10389	11715
470	10414	11696
471	10434	11672
472	10453	11647
473	10473	11622
474	10493	11597
475	10513	11573
476	10531	11547
477	10550	11521
478	10570	11497
479	10595	11477
480	10619	11458
481	10640	11435
482	10660	11410
483	10678	11384
484	10695	11357
485	10713	11330
486	10732	11305
487	10749	11278
488	10768	11253
489	10789	11230
490	10817	11214
491	10838	11191
492	10857	11166
493	10875	11140
494	10896	11117
495	10914	11090
496	10934	11066
497	10953	11041
498	10975	11019
499	10999	10999
500	11022	10978
501	11046	10958
502	11068	10936
503	11091	10915
504	11110	10890
505	11129	10865
506	11147	10839
507	11167	10815
508	11187	10791
509	11209	10770
510	11235	10751
511	11258	10730
512	11280	10708
513	11301	10686
514	11321	10662
515	11340	10637
516	11361	10614
517	11382	10591
518	11403	10569
519	11427	10548
520	11456	10532
521	11478	10511
522	11498	10487
523	11519	10464
524	11538	10439
525	11557	10414
526	11576	10390
527	11596	10366
528	11615	10341
529	11639	10321
530	11665	10303
531	11689	10283
532	11715	10264
533	11737	10242
534	11756	10218
535	11774	10193
536	11793	10168
537	11813	10144
538	11831	10119
539	11853	10097
540	11876	10076
541	11902	10057
542	11924	10035
543	11944	10012
544	11964	9988
545	11985	9965
546	12003	9941
547	12024	9918
548	12044	9894
549	12066	9872
550	12086	9849
551	12111	9829
552	12132	9806
553	12153	9784
554	12172	9759
555	12192	9736
556	12212	9712
557	12231	9689
558	12250	9664
559	12271	9642
560	12293	9619
561	12322	9603
562	12341	9579
563	12359	9554
564	12379	9531
565	12400	9508
566	12418	9483
567	12437	9459
568	12455	9434
569	12473	9410
570	12495	9388
571	12550	9390
572	12577	9372
573	12606	9355
574	12625	9331
575	12644	9307
576	12667	9286
577	12686	9262
578	12711	9242
579	12736	9222
580	12760	9202
581	12779	9178
582	12800	9155
583	12819	9132
584	12837	9106
585	12857	9083
586	12879	9061
587	12897	9037
588	12919	9015
589	12942	8993
590	12970	8976
591	12990	8953
592	13011	8930
593	13029	8905
594	13047	8881
595	13067	8858
596	13087	8834
597	13106	8810
598	13125	8786
599	13147	8764
600	13175	8747
601	13199	8726
602	13220	8703
603	13239	8679
604	13258	8656
605	13278	8633
606	13297	8609
607	13316	8585
608	13337	8562
609	13358	8540
610	13381	8519
611	13403	8497
612	13422	8474
613	13443	8451
614	13464	8428
615	13483	8405
616	13502	8381
617	13521	8358
618	13541	8334
