iter	RMSE
283	2905.432103
284	2905.173783
285	2905.03364
286	2904.890125
287	2904.815539
288	2904.706438
289	2904.50599
290	2904.277117
291	2904.071428
292	2903.996634
293	2903.8697
294	2903.78316
295	2903.660947
296	2903.328159
297	2903.228316
298	2903.126517
299	2903.038592
300	2902.904473
301	2902.666981
302	2902.557618
303	2902.419655
304	2902.310106
305	2902.128573
306	2902.004408
307	2901.893955
308	2901.753186
309	2901.645161
310	2901.359519
311	2901.176802
312	2901.055693
313	2900.909917
314	2900.818412
315	2900.736674
316	2900.615476
317	2900.376759
318	2900.275707
319	2900.118096
320	2900.014861
321	2899.932959
322	2899.609641
323	2899.559524
324	2899.367334
325	2899.225223
326	2899.012759
327	2898.757387
328	2898.717472
329	2898.594265
330	2898.404757
331	2898.165643
332	2897.990564
333	2897.862652
334	2897.740406
335	2897.641208
336	2897.448245
337	2897.18387
338	2897.033944
339	2896.800607
340	2896.729735
341	2896.523595
342	2896.408551
343	2896.254252
344	2896.020135
345	2895.901913
346	2895.682607
347	2895.543881
348	2895.312128
349	2895.196132
350	2895.038672
351	2894.974391
352	2894.773683
353	2894.628349
354	2894.571584
355	2894.47707
356	2894.360849
357	2894.225626
358	2894.139572
359	2894.012767
360	2893.897607
361	2893.680955
362	2893.438327
363	2893.300506
364	2893.077837
365	2893.032652
366	2892.936365
367	2892.889125
368	2892.733279
369	2892.57529
370	2892.4226
371	2892.243703
372	2892.073505
373	2891.826228
374	2891.759664
375	2891.593793
376	2891.473435
377	2891.310422
378	2891.236525
379	2891.182151
380	2891.099415
381	2891.002223
382	2890.869896
383	2890.832007
384	2890.732752
385	2890.692267
386	2890.625347
387	2890.550955
388	2890.486949
389	2890.348874
390	2890.19043
391	2890.071781
392	2889.921038
393	2889.814145
394	2889.660642
395	2889.535259
396	2889.329282
397	2889.282354
398	2889.133892
399	2889.072538
400	2888.981835
401	2888.766055
402	2888.646509
403	2888.534532
404	2888.353568
405	2888.32006
406	2888.252888
407	2888.148013
408	2888.09069
409	2887.97604
410	2887.867228
411	2887.71397
412	2887.610419
413	2887.360674
414	2887.283435
415	2887.184272
416	2887.109832
417	2886.860541
418	2886.722572
419	2886.599633
420	2886.567849
421	2886.51802
422	2886.438155
423	2886.262694
424	2886.19961
425	2886.136016
426	2886.013971
427	2885.934556
428	2885.770711
429	2885.656797
430	2885.525478
431	2885.430185
432	2885.192115
433	2885.103861
434	2885.061895
435	2884.882772
436	2884.79985
437	2884.730632
438	2884.621143
439	2884.54316
440	2884.424697
441	2884.349463
442	2884.22304
443	2883.968983
444	2883.933288
445	2883.85346
446	2883.678943
447	2883.630042
448	2883.56901
449	2883.343388
450	2883.276032
451	2883.214244
452	2883.128382
453	2882.955855
454	2882.876731
455	2882.715618
456	2882.593394
457	2882.490908
458	2882.393906
459	2882.286751
460	2882.218505
461	2882.168706
462	2882.100852
463	2882.010504
464	2881.953033
465	2881.814627
466	2881.700329
467	2881.63182
468	2881.51612
469	2881.398957
470	2881.311525
471	2881.236241
472	2881.176867
473	2881.091078
474	2881.000655
475	2880.928611
476	2880.871619
477	2880.77311
478	2880.669127
479	2880.559407
480	2880.482169
481	2880.364719
482	2880.260303
483	2880.155451
484	2880.071674
485	2879.970511
486	2879.896756
487	2879.849155
488	2879.764171
489	2879.675415
490	2879.584863
491	2879.521903
492	2879.443682
493	2879.376028
494	2879.288069
495	2879.223424
496	2879.042835
497	2878.896642
498	2878.847774
499	2878.664836
500	2878.592413
501	2878.502599
502	2878.425854
503	2878.334483
504	2878.276279
505	2878.1989
506	2878.160517
507	2878.055108
508	2877.971042
509	2877.804945
510	2877.73077
511	2877.63868
512	2877.600462
513	2877.501457
514	2877.447763
515	2877.410839
516	2877.33582
517	2877.236738
518	2877.169675
519	2877.055453
520	2877.0033
521	2876.897311
522	2876.771897
523	2876.677103
524	2876.624495
525	2876.56218
526	2876.503678
527	2876.383498
528	2876.335494
529	2876.271646
530	2876.184661
531	2876.063296
532	2875.901453
533	2875.836322
534	2875.751292
535	2875.700483
536	2875.589344
537	2875.493944
538	2875.40563
539	2875.300218
540	2875.243026
541	2875.190912
542	2875.102129
543	2874.935547
544	2874.894606
545	2874.794335
546	2874.751672
547	2874.669219
548	2874.609585
549	2874.556585
550	2874.543586
551	2874.505031
552	2874.428176
553	2874.364771
554	2874.238284
555	2874.180037
556	2874.129005
557	2874.091132
558	2874.025209
559	2873.960147
560	2873.90862
561	2873.850793
562	2873.790296
563	2873.699236
564	2873.665816
565	2873.606881
566	2873.554151
567	2873.446971
568	2873.396303
569	2873.305696
570	2873.252011
571	2873.133737
572	2873.088018
573	2872.936394
574	2872.843941
575	2872.769148
576	2872.727803
577	2872.617027
578	2872.509963
579	2872.47402
580	2872.428353
581	2872.37091
582	2872.319944
583	2872.239064
584	2872.21051
585	2872.167932
586	2872.067981
587	2872.010662
588	2871.957606
589	2871.824101
590	2871.768039
591	2871.657442
592	2871.582049
593	2871.533512
594	2871.497861
595	2871.437098
596	2871.383536
597	2871.301138
598	2871.267222
599	2871.210567
600	2871.079915
601	2870.968549
602	2870.925347
603	2870.813587
604	2870.701081
605	2870.663473
606	2870.600593
607	2870.535501
608	2870.470787
609	2870.40973
610	2870.346474
611	2870.245356
612	2870.180372
613	2870.134109
614	2870.097284
615	2870.014135
616	2869.929771
617	2869.862765
618	2869.767377
619	2869.691707
620	2869.632296
621	2869.490867
622	2869.416196
623	2869.365607
624	2869.306552
625	2869.268645
626	2869.168443
627	2869.102081
628	2869.029203
629	2868.954786
630	2868.885867
631	2868.835778
632	2868.791739
633	2868.718116
634	2868.674537
635	2868.605819
636	2868.516711
637	2868.442691
638	2868.34417
639	2868.311926
640	2868.144605
641	2868.058167
642	2868.013995
643	2867.910556
644	2867.878549
645	2867.810289
646	2867.751709
647	2867.665526
648	2867.564176
649	2867.48492
650	2867.395278
651	2867.369201
652	2867.30341
653	2867.244396
654	2867.137006
655	2867.107205
656	2867.041299
657	2866.891489
658	2866.794328
659	2866.716654
660	2866.673031
661	2866.618772
662	2866.591601
663	2866.535749
664	2866.46238
665	2866.425365
666	2866.367657
667	2866.325773
668	2866.236841
669	2866.160139
670	2866.088995
671	2866.015948
672	2865.953401
673	2865.872743
674	2865.706754
675	2865.559289
676	2865.495365
677	2865.364568
678	2865.300043
679	2865.270542
680	2865.217237
681	2865.177259
682	2865.120165
683	2865.097152
684	2865.012435
685	2864.958287
686	2864.912434
687	2864.798755
688	2864.730083
689	2864.65765
690	2864.593303
691	2864.531675
692	2864.381982
693	2864.289219
694	2864.200385
695	2864.131092
696	2864.093911
697	2864.061407
698	2863.972056
699	2863.911253
700	2863.855799
701	2863.784496
702	2863.722387
703	2863.684004
704	2863.643131
705	2863.578906
706	2863.523216
707	2863.486908
708	2863.403978
709	2863.329175
710	2863.276669
711	2863.232108
712	2863.207316
713	2863.119595
714	2863.092335
715	2863.041686
716	2862.966702
717	2862.888509
718	2862.83364
719	2862.784653
720	2862.727623
721	2862.63537
722	2862.550727
723	2862.487916
724	2862.472461
725	2862.420854
726	2862.356949
727	2862.343971
728	2862.290656
729	2862.24316
730	2862.190547
731	2862.161495
732	2862.1086
733	2862.063635
734	2861.993648
735	2861.919472
736	2861.872404
737	2861.82629
738	2861.781309
739	2861.720761
740	2861.694833
741	2861.616247
742	2861.556505
743	2861.522607
744	2861.487656
745	2861.42698
746	2861.365549
747	2861.343827
748	2861.313967
749	2861.235445
750	2861.114734
751	2861.055287
752	2861.02297
753	2860.987072
754	2860.956934
755	2860.84878
756	2860.736628
757	2860.691911
758	2860.638482
759	2860.595491
760	2860.556037
761	2860.495895
762	2860.410663
763	2860.3516
764	2860.288172
765	2860.251494
766	2860.201491
767	2860.161022
768	2860.129626
769	2860.081379
770	2860.025566
771	2859.97644
772	2859.907816
773	2859.833967
774	2859.79029
775	2859.729247
776	2859.683758
777	2859.594827
778	2859.563789
779	2859.520364
780	2859.479377
781	2859.367795
782	2859.331731
783	2859.282159
784	2859.228135
785	2859.180501
786	2859.130644
787	2859.072117
788	2859.001448
789	2858.919653
790	2858.892281
791	2858.834898
792	2858.791675
793	2858.754654
794	2858.672741
795	2858.569039
796	2858.505128
797	2858.439025
798	2858.408287
799	2858.350569
800	2858.306996
801	2858.228211
802	2858.204126
803	2858.100581
804	2858.06805
805	2858.004661
806	2857.953827
807	2857.883924
808	2857.845941
809	2857.798955
810	2857.765245
811	2857.654336
812	2857.567147
813	2857.544889
814	2857.502822
815	2857.445364
816	2857.4025
817	2857.367909
818	2857.320327
819	2857.260993
820	2857.205826
821	2857.166896
822	2857.11617
823	2857.057082
824	2857.014531
825	2856.956036
826	2856.901985
827	2856.846743
828	2856.815071
829	2856.776193
830	2856.73382
831	2856.670257
832	2856.622298
833	2856.597964
834	2856.560528
835	2856.515234
836	2856.503145
837	2856.424973
838	2856.34233
839	2856.310313
840	2856.232744
841	2856.180789
842	2856.129848
843	2856.11095
844	2856.038017
845	2856.005126
846	2855.940393
847	2855.829902
848	2855.74883
849	2855.683089
850	2855.641206
851	2855.577429
852	2855.54323
853	2855.47582
854	2855.425225
855	2855.397783
856	2855.342559
857	2855.291764
858	2855.255937
859	2855.233188
860	2855.216483
861	2855.167088
862	2855.107694
863	2855.066806
864	2854.993568
865	2854.932962
866	2854.887431
867	2854.839939
868	2854.801621
869	2854.774673
870	2854.702467
871	2854.599546
872	2854.536742
873	2854.487447
874	2854.44046
875	2854.405953
876	2854.339596
877	2854.293758
878	2854.258761
879	2854.228334
880	2854.205165
881	2854.156329
882	2854.126636
883	2854.108555
884	2854.046216
885	2854.012027
886	2853.957778
887	2853.876651
888	2853.837955
889	2853.799221
890	2853.730341
891	2853.713593
892	2853.670263
893	2853.617642
894	2853.590875
895	2853.468862
896	2853.400337
897	2853.354981
898	2853.322799
899	2853.24532
900	2853.197487
901	2853.158155
902	2853.120867
903	2853.032431
904	2853.010495
905	2852.969464
906	2852.909057
907	2852.877942
908	2852.861955
909	2852.804787
910	2852.729321
911	2852.684055
912	2852.633123
913	2852.553097
914	2852.493894
915	2852.457073
916	2852.425191
917	2852.386561
918	2852.305013
919	2852.254125
920	2852.181134
921	2852.139375
922	2852.061476
923	2852.002377
924	2851.949779
925	2851.902002
926	2851.851532
927	2851.814404
928	2851.777326
929	2851.725155
930	2851.697343
931	2851.655207
932	2851.609944
933	2851.558672
934	2851.528302
935	2851.489727
936	2851.444071
937	2851.394188
938	2851.335136
939	2851.283536
940	2851.23697
941	2851.178683
942	2851.133746
943	2851.096581
944	2851.050892
945	2850.990802
946	2850.923739
947	2850.879407
948	2850.841677
949	2850.797099
950	2850.752091
951	2850.704799
952	2850.643888
953	2850.599431
954	2850.561974
955	2850.446128
956	2850.404846
957	2850.373645
958	2850.345642
959	2850.320155
960	2850.207423
961	2850.159958
962	2850.127325
963	2850.029296
964	2849.955621
965	2849.923029
966	2849.869923
967	2849.835699
968	2849.782679
969	2849.741552
970	2849.699945
971	2849.649766
972	2849.596022
973	2849.539834
974	2849.503423
975	2849.462078
976	2849.427693
977	2849.367869
978	2849.30144
979	2849.285032
980	2849.242685
981	2849.203392
982	2849.165608
983	2849.101396
984	2849.061569
985	2849.00938
986	2848.972934
987	2848.938773
988	2848.899046
989	2848.844338
990	2848.784087
991	2848.753996
992	2848.686473
993	2848.628697
994	2848.553446
995	2848.435944
996	2848.406024
997	2848.356534
998	2848.337563
999	2848.28226
